[33m[nodemon] 2.0.3[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): *.*[39m
[33m[nodemon] watching extensions: js,mjs,json[39m
[32m[nodemon] starting `node index.js`[39m
Tilgjengelige seriellporter:
http://localhost:3000
COM34
Nettleser åpen
304: (12:23) 39
305: (12:23) 39
306: (12:23) 38
307: (12:23) 39
308: (12:23) 39
309: (12:23) 39
310: (12:23) 39
311: (12:23) 39
312: (12:23) 39
313: (12:23) 39
314: (12:23) 39
315: (12:23) 39
316: (12:23) 39
317: (12:23) 39
318: (12:23) 39
319: (12:23) 39
320: (12:23) 39
321: (12:23) 39
322: (12:23) 39
323: (12:23) 39
324: (12:23) 39
325: (12:23) 39
326: (12:23) 39
327: (12:23) 39
328: (12:23) 39
329: (12:23) 39
330: (12:23) 39
331: (12:23) 39
332: (12:23) 39
333: (12:23) 39
334: (12:23) 39
335: (12:23) 39
336: (12:23) 39
337: (12:23) 39
338: (12:23) 39
339: (12:23) 39
340: (12:23) 39
341: (12:23) 39
342: (12:23) 39
343: (12:23) 39
344: (12:23) 39
345: (12:23) 39
346: (12:23) 39
347: (12:23) 39
348: (12:23) 39
349: (12:23) 39
350: (12:23) 39
351: (12:23) 39
352: (12:23) 39
353: (12:23) 39
354: (12:23) 39
355: (12:23) 39
356: (12:23) 39
357: (12:23) 39
358: (12:23) 39
359: (12:23) 39
360: (12:23) 39
361: (12:23) 39
362: (12:23) 39
363: (12:24) 39
364: (12:24) 39
365: (12:24) 39
366: (12:24) 39
367: (12:24) 39
368: (12:24) 39
369: (12:24) 39
370: (12:24) 39
371: (12:24) 39
372: (12:24) 39
373: (12:24) 39
374: (12:24) 39
375: (12:24) 39
376: (12:24) 39
377: (12:24) 39
378: (12:24) 39
379: (12:24) 39
380: (12:24) 39
381: (12:24) 39
382: (12:24) 39
383: (12:24) 39
384: (12:24) 39
385: (12:24) 39
386: (12:24) 39
387: (12:24) 39
388: (12:24) 39
389: (12:24) 39
390: (12:24) 39
391: (12:24) 39
392: (12:24) 39
393: (12:24) 39
394: (12:24) 39
395: (12:24) 39
396: (12:24) 39
397: (12:24) 39
398: (12:24) 39
399: (12:24) 39
400: (12:24) 39
401: (12:24) 39
402: (12:24) 39
403: (12:24) 39
404: (12:24) 39
405: (12:24) 39
406: (12:24) 39
407: (12:24) 39
408: (12:24) 39
409: (12:24) 39
410: (12:24) 39
411: (12:24) 39
412: (12:24) 39
413: (12:24) 39
414: (12:24) 39
415: (12:24) 39
416: (12:24) 39
417: (12:24) 39
418: (12:24) 39
419: (12:24) 39
420: (12:24) 39
421: (12:24) 39
422: (12:24) 39
423: (12:24) 39
424: (12:24) 39
425: (12:24) 39
426: (12:24) 39
427: (12:24) 39
428: (12:24) 39
429: (12:24) 39
430: (12:24) 39
431: (12:24) 39
432: (12:24) 39
433: (12:24) 39
434: (12:24) 39
435: (12:24) 39
436: (12:24) 39
437: (12:24) 39
438: (12:24) 39
439: (12:24) 39
440: (12:24) 39
441: (12:24) 39
442: (12:24) 39
443: (12:24) 39
444: (12:24) 39
445: (12:24) 39
446: (12:24) 39
447: (12:24) 39
448: (12:24) 39
449: (12:24) 39
450: (12:24) 39
451: (12:24) 39
452: (12:24) 39
453: (12:24) 39
454: (12:24) 39
455: (12:24) 39
456: (12:24) 39
457: (12:24) 39
458: (12:24) 39
459: (12:24) 39
460: (12:24) 39
461: (12:24) 39
462: (12:24) 39
463: (12:24) 39
464: (12:24) 39
465: (12:24) 39
466: (12:24) 39
467: (12:24) 39
468: (12:24) 39
469: (12:24) 38
470: (12:24) 39
471: (12:24) 39
472: (12:24) 39
473: (12:24) 39
474: (12:24) 39
475: (12:24) 39
476: (12:24) 39
477: (12:24) 39
478: (12:24) 39
479: (12:24) 39
480: (12:24) 39
481: (12:24) 39
482: (12:24) 39
483: (12:24) 39
484: (12:24) 39
485: (12:24) 39
486: (12:24) 39
487: (12:24) 39
488: (12:24) 39
489: (12:24) 39
490: (12:24) 39
491: (12:24) 39
492: (12:24) 39
493: (12:24) 39
494: (12:24) 39
495: (12:24) 39
496: (12:24) 39
497: (12:24) 39
498: (12:24) 39
499: (12:24) 39
500: (12:24) 39
501: (12:24) 39
502: (12:24) 39
503: (12:24) 39
504: (12:24) 39
505: (12:24) 39
506: (12:24) 39
507: (12:24) 39
508: (12:24) 39
509: (12:24) 39
510: (12:24) 39
511: (12:24) 39
512: (12:24) 39
513: (12:24) 39
514: (12:24) 39
515: (12:24) 39
516: (12:24) 39
517: (12:24) 39
518: (12:24) 39
519: (12:24) 39
520: (12:24) 39
521: (12:24) 40
522: (12:24) 40
523: (12:24) 39
524: (12:24) 39
525: (12:24) 39
526: (12:24) 39
527: (12:24) 39
528: (12:24) 39
529: (12:24) 39
530: (12:24) 39
531: (12:24) 40
532: (12:24) 40
533: (12:24) 40
534: (12:24) 39
535: (12:24) 39
536: (12:24) 39
537: (12:24) 39
538: (12:24) 40
539: (12:24) 40
540: (12:24) 39
541: (12:24) 39
542: (12:24) 39
543: (12:24) 40
544: (12:24) 39
545: (12:24) 39
546: (12:24) 39
547: (12:24) 39
548: (12:24) 39
549: (12:24) 39
550: (12:24) 39
551: (12:24) 39
552: (12:24) 39
553: (12:24) 39
554: (12:24) 39
